id,channel,value,datetime
7069092,2,294.3,2024-01-11 00:44:50.000000
7069093,2,294.301,2024-01-11 00:45:51.000000
7069094,5,294.294,2024-01-11 00:43:50.000000
7069095,5,294.333,2024-01-11 00:44:50.000000
7069096,5,294.345,2024-01-11 00:45:51.000000
7069097,6,0,2024-01-11 00:43:50.000000
7069098,6,0,2024-01-11 00:44:50.000000
7069099,6,0,2024-01-11 00:45:51.000000
7069100,1,293.62,2024-01-11 00:46:51.000000
7069101,2,294.299,2024-01-11 00:46:51.000000
7069102,5,294.26,2024-01-11 00:46:51.000000
7069103,6,0,2024-01-11 00:46:51.000000
7069104,1,293.618,2024-01-11 00:47:51.000000
7069105,1,293.618,2024-01-11 00:48:51.000000
7069106,1,293.617,2024-01-11 00:49:51.000000
7069107,2,294.295,2024-01-11 00:47:51.000000
7069108,2,294.3,2024-01-11 00:48:51.000000
7069109,2,294.308,2024-01-11 00:49:51.000000
7069110,5,294.324,2024-01-11 00:47:51.000000
7069111,5,294.296,2024-01-11 00:48:51.000000
7069112,5,294.28,2024-01-11 00:49:51.000000
7069113,6,0,2024-01-11 00:47:51.000000
7069114,6,0,2024-01-11 00:48:51.000000
7069115,6,0,2024-01-11 00:49:51.000000
7069116,1,293.619,2024-01-11 00:50:52.000000
7069117,2,294.299,2024-01-11 00:50:52.000000
7069118,5,294.311,2024-01-11 00:50:52.000000
7069119,6,0,2024-01-11 00:50:52.000000
7069120,1,293.617,2024-01-11 00:51:52.000000
7069121,1,293.614,2024-01-11 00:52:52.000000
7069122,1,293.613,2024-01-11 00:53:52.000000
7069123,2,294.299,2024-01-11 00:51:52.000000
7069124,2,294.28,2024-01-11 00:52:52.000000
7069125,2,294.299,2024-01-11 00:53:52.000000
7069126,5,294.304,2024-01-11 00:51:52.000000
7069127,5,294.36,2024-01-11 00:52:52.000000
7069128,5,294.348,2024-01-11 00:53:52.000000
7069129,6,0,2024-01-11 00:51:52.000000
7069130,6,0,2024-01-11 00:52:52.000000
7069131,6,0,2024-01-11 00:53:52.000000
7069132,1,293.616,2024-01-11 00:54:52.000000
7069133,2,294.281,2024-01-11 00:54:52.000000
7069134,5,294.298,2024-01-11 00:54:52.000000
7069135,6,0,2024-01-11 00:54:52.000000
7069136,1,293.612,2024-01-11 00:55:53.000000
7069137,1,293.613,2024-01-11 00:56:53.000000
7069138,1,293.61,2024-01-11 00:57:53.000000
7069139,2,294.282,2024-01-11 00:55:53.000000
7069140,2,294.294,2024-01-11 00:56:53.000000
7069141,2,294.285,2024-01-11 00:57:53.000000
7069142,5,294.299,2024-01-11 00:55:53.000000
7069143,5,294.321,2024-01-11 00:56:53.000000
7069144,5,294.311,2024-01-11 00:57:53.000000
7069145,6,0,2024-01-11 00:55:53.000000
7069146,6,0,2024-01-11 00:56:53.000000
7069147,6,0,2024-01-11 00:57:53.000000
7069148,1,293.612,2024-01-11 00:58:53.000000
7069149,2,294.29,2024-01-11 00:58:53.000000
7069150,5,294.322,2024-01-11 00:58:53.000000
7069151,6,0,2024-01-11 00:58:53.000000
7069152,1,293.612,2024-01-11 00:59:53.000000
7069153,1,293.61,2024-01-11 01:00:53.000000
7069154,1,293.609,2024-01-11 01:01:54.000000
7069155,2,294.3,2024-01-11 00:59:53.000000
7069156,2,294.296,2024-01-11 01:00:53.000000
7069157,2,294.293,2024-01-11 01:01:54.000000
7069158,5,294.312,2024-01-11 00:59:53.000000
7069159,5,294.297,2024-01-11 01:00:53.000000
7069160,5,294.309,2024-01-11 01:01:54.000000
7069161,6,0,2024-01-11 00:59:53.000000
7069162,6,0,2024-01-11 01:00:53.000000
7069163,6,0,2024-01-11 01:01:54.000000
7069164,1,293.607,2024-01-11 01:02:54.000000
7069165,2,294.284,2024-01-11 01:02:54.000000
7069166,5,294.309,2024-01-11 01:02:54.000000
7069167,6,0,2024-01-11 01:02:54.000000
7069168,1,293.608,2024-01-11 01:03:54.000000
7069169,1,293.605,2024-01-11 01:04:54.000000
7069170,1,293.605,2024-01-11 01:05:54.000000
7069171,2,294.291,2024-01-11 01:03:54.000000
7069172,2,294.272,2024-01-11 01:04:54.000000
7069173,2,294.288,2024-01-11 01:05:54.000000
7069174,5,294.315,2024-01-11 01:03:54.000000
7069175,5,294.293,2024-01-11 01:04:54.000000
7069176,5,294.282,2024-01-11 01:05:54.000000
7069177,6,0,2024-01-11 01:03:54.000000
7069178,6,0,2024-01-11 01:04:54.000000
7069179,6,0,2024-01-11 01:05:54.000000
7069180,1,293.605,2024-01-11 01:06:55.000000
7069181,2,294.284,2024-01-11 01:06:55.000000
7069182,5,294.307,2024-01-11 01:06:55.000000
7069183,6,0,2024-01-11 01:06:55.000000
7069184,1,293.603,2024-01-11 01:07:55.000000
7069185,1,293.602,2024-01-11 01:08:55.000000
7069186,1,293.606,2024-01-11 01:09:55.000000
7069187,2,294.275,2024-01-11 01:07:55.000000
7069188,2,294.289,2024-01-11 01:08:55.000000
7069189,2,294.272,2024-01-11 01:09:55.000000
7069190,5,294.308,2024-01-11 01:07:55.000000
7069191,5,294.293,2024-01-11 01:08:55.000000
7069192,5,294.321,2024-01-11 01:09:55.000000
7069193,6,0,2024-01-11 01:07:55.000000
7069194,6,0,2024-01-11 01:08:55.000000
7069195,6,0,2024-01-11 01:09:55.000000
7069196,1,293.603,2024-01-11 01:10:55.000000
7069197,2,294.288,2024-01-11 01:10:55.000000
7069198,5,294.317,2024-01-11 01:10:55.000000
7069199,6,0,2024-01-11 01:10:55.000000
7069200,1,293.602,2024-01-11 01:11:56.000000
7069201,1,293.601,2024-01-11 01:12:56.000000
7069202,1,293.602,2024-01-11 01:13:56.000000
7069203,2,294.271,2024-01-11 01:11:56.000000
7069204,2,294.273,2024-01-11 01:12:56.000000
7069205,2,294.281,2024-01-11 01:13:56.000000
7069206,5,294.292,2024-01-11 01:11:56.000000
7069207,5,294.29,2024-01-11 01:12:56.000000
7069208,5,294.295,2024-01-11 01:13:56.000000
7069209,6,0,2024-01-11 01:11:56.000000
7069210,6,0,2024-01-11 01:12:56.000000
7069211,6,0,2024-01-11 01:13:56.000000
7069212,1,293.599,2024-01-11 01:14:56.000000
7069213,2,294.285,2024-01-11 01:14:56.000000
7069214,5,294.297,2024-01-11 01:14:56.000000
7069215,6,0,2024-01-11 01:14:56.000000
7069216,1,293.601,2024-01-11 01:15:56.000000
7069217,1,293.598,2024-01-11 01:16:56.000000
7069218,1,293.6,2024-01-11 01:17:57.000000
7069219,2,294.269,2024-01-11 01:15:56.000000
7069220,2,294.282,2024-01-11 01:16:56.000000
7069221,2,294.265,2024-01-11 01:17:57.000000
7069222,5,294.262,2024-01-11 01:15:56.000000
7069223,5,294.31,2024-01-11 01:16:56.000000
7069224,5,294.315,2024-01-11 01:17:57.000000
7069225,6,0,2024-01-11 01:15:56.000000
7069226,6,0,2024-01-11 01:16:56.000000
7069227,6,0,2024-01-11 01:17:57.000000
7069228,1,293.596,2024-01-11 01:18:57.000000
7069229,2,294.273,2024-01-11 01:18:57.000000
7069230,5,294.307,2024-01-11 01:18:57.000000
7069231,6,0,2024-01-11 01:18:57.000000
7069232,1,293.597,2024-01-11 01:19:57.000000
7069233,1,293.598,2024-01-11 01:20:57.000000
7069234,1,293.597,2024-01-11 01:21:57.000000
7069235,2,294.261,2024-01-11 01:19:57.000000
7069236,2,294.259,2024-01-11 01:20:57.000000
7069237,2,294.264,2024-01-11 01:21:57.000000
7069238,5,294.261,2024-01-11 01:19:57.000000
7069239,5,294.299,2024-01-11 01:20:57.000000
7069240,5,294.311,2024-01-11 01:21:57.000000
7069241,6,0,2024-01-11 01:19:57.000000
7069242,6,0,2024-01-11 01:20:57.000000
7069243,6,0,2024-01-11 01:21:57.000000
7069244,1,293.597,2024-01-11 01:22:58.000000
7069245,2,294.261,2024-01-11 01:22:58.000000
7069246,5,294.312,2024-01-11 01:22:58.000000
7069247,6,0,2024-01-11 01:22:58.000000
7069248,1,293.595,2024-01-11 01:23:58.000000
7069249,1,293.593,2024-01-11 01:24:58.000000
7069250,2,294.28,2024-01-11 01:23:58.000000
7069251,2,294.287,2024-01-11 01:24:58.000000
7069252,5,294.266,2024-01-11 01:23:58.000000
7069253,5,294.317,2024-01-11 01:24:58.000000
7069254,6,0,2024-01-11 01:23:58.000000
7069255,6,0,2024-01-11 01:24:58.000000
7069256,1,293.593,2024-01-11 01:25:58.000000
7069257,1,293.593,2024-01-11 01:26:59.000000
7069258,2,294.277,2024-01-11 01:25:58.000000
