id,channel,value,datetime
6602252,2,47.62492365336063,2023-09-01 21:45:42
6602264,5,47.782694703849415,2023-09-01 21:45:42
6602265,5,47.8192565053595,2023-09-01 21:46:42
6602277,6,47.72218454455259,2023-09-01 21:46:42
6602241,1,47.491888804109806,2023-09-01 21:46:42
6602253,2,47.14243078869898,2023-09-01 21:46:42
6602266,5,46.7008206093063,2023-09-01 21:47:42
6602278,6,46.204714915557155,2023-09-01 21:47:42
6602242,1,45.69865672434954,2023-09-01 21:47:42
6602254,2,45.22922178178856,2023-09-01 21:47:42
6602255,2,44.83962573194282,2023-09-01 21:48:43
6602279,6,44.5644684933833,2023-09-01 21:48:43
6602243,1,44.425323301439455,2023-09-01 21:48:43
6602267,5,44.42780833592243,2023-09-01 21:48:43
6602256,2,44.56061399554892,2023-09-01 21:49:43
6602280,6,44.79671686168429,2023-09-01 21:49:43
6602268,5,45.09672073453086,2023-09-01 21:49:43
6602244,1,45.41396274418666,2023-09-01 21:49:43
6602269,5,45.700751178842076,2023-09-01 21:50:43
6602281,6,45.91490490731823,2023-09-01 21:50:43
6602245,1,46.02567917895237,2023-09-01 21:50:43
6602257,2,46.01821178014695,2023-09-01 21:50:43
6602270,5,45.89580846248376,2023-09-01 21:51:43
6602258,2,45.67968415691092,2023-09-01 21:51:43
6602246,1,45.406141747925496,2023-09-01 21:51:43
6602282,6,45.12154545097619,2023-09-01 21:51:43
6602271,5,44.87577333368908,2023-09-01 21:52:43
6602259,2,44.71506544165646,2023-09-01 21:52:43
6602283,6,44.67528733254236,2023-09-01 21:52:43
6602247,1,44.77658676144044,2023-09-01 21:52:43
6602260,2,45.020234466194964,2023-09-01 21:53:43
6602272,5,45.3881289848961,2023-09-01 21:53:43
6602284,6,45.84505192828651,2023-09-01 21:53:43
6602248,1,46.34334443425328,2023-09-01 21:53:43
6602285,6,46.82930781168419,2023-09-01 21:54:43
6602249,1,47.2503772282216,2023-09-01 21:54:43
6602273,5,47.56202141040173,2023-09-01 21:54:43
6602261,2,47.73339563650857,2023-09-01 21:54:43
6602286,1,47.750996906964765,2023-09-01 21:57:44
6602287,2,47.61988987726916,2023-09-01 21:57:44
6602288,5,47.36242951046972,2023-09-01 21:57:44
6602289,6,47.014745180574984,2023-09-01 21:57:44
6602293,6,46.62152944205156,2023-09-01 21:59:44
6602292,5,46.229868552198134,2023-09-01 21:59:44
6602290,1,45.882950153674365,2023-09-01 21:59:44
6602291,2,45.61448229648005,2023-09-01 21:59:44
6602294,1,45.44455677117481,2023-09-01 22:01:45
6602295,2,45.377494102286825,2023-09-01 22:01:45
6602296,5,45.40193506639008,2023-09-01 22:01:45
6602297,6,45.49312789231773,2023-09-01 22:01:45
6602304,6,45.61704865772511,2023-09-01 22:03:45
6602298,1,45.73573602960808,2023-09-01 22:03:45
6602300,2,45.813062118568524,2023-09-01 22:03:45
6602302,5,45.82012002774776,2023-09-01 22:03:45
6602305,6,45.739483212728246,2023-09-01 22:04:45
6602299,1,45.567761705985376,2023-09-01 22:04:45
6602301,2,45.31611751801609,2023-09-01 22:04:45
6602303,5,45.0086775384951,2023-09-01 22:04:45
6602306,1,44.67906877107626,2023-09-01 22:07:46
6602308,2,44.36556664820371,2023-09-01 22:07:46
6602310,5,44.10555700969319,2023-09-01 22:07:46
6602312,6,43.93013004647209,2023-09-01 22:07:46
6602307,1,43.85962224987844,2023-09-01 22:08:46
6602309,2,43.90079030360597,2023-09-01 22:08:46
6602311,5,44.04605291463929,2023-09-01 22:08:46
6602313,6,44.27490970753,2023-09-01 22:08:46
6602314,1,44.55729356482829,2023-09-01 22:11:46
6602320,6,44.85829409569709,2023-09-01 22:11:46
6602316,2,45.143462054170186,2023-09-01 22:11:46
6602318,5,45.38381077432838,2023-09-01 22:11:46
6602321,6,45.5596910724122,2023-09-01 22:12:46
6602317,2,45.66292162159041,2023-09-01 22:12:46
6602315,1,45.69687054016078,2023-09-01 22:12:46
6602319,5,45.67454844280724,2023-09-01 22:12:46
6602322,1,45.615122430167034,2023-09-01 22:15:47
6602324,2,45.53953236987709,2023-09-01 22:15:47
6602326,5,45.46603801293201,2023-09-01 22:15:47
6602328,6,45.40652280289119,2023-09-01 22:15:47
6602329,6,45.364228795415485,2023-09-01 22:16:47
6602323,1,45.333325050237846,2023-09-01 22:16:47
6602325,2,45.30037001442751,2023-09-01 22:16:47
6602327,5,45.2473800833726,2023-09-01 22:16:47
6602332,5,45.15592402255243,2023-09-01 22:18:48
6602333,6,45.01147596371305,2023-09-01 22:18:48
6602330,1,44.80720860689572,2023-09-01 22:18:48
6602331,2,44.54650130807958,2023-09-01 22:18:48
6602334,1,44.24366003599652,2023-09-01 22:20:48
6602335,2,43.92266039159142,2023-09-01 22:20:48
6602336,5,43.61407554487418,2023-09-01 22:20:48
6602337,6,43.3506741269342,2023-09-01 22:20:48
6602338,1,43.16240997294779,2023-09-01 22:22:48
6602339,2,43.071635514158,2023-09-01 22:22:48
6602340,5,43.08933874033881,2023-09-01 22:22:48
6602341,6,43.21304066540588,2023-09-01 22:22:48
6602342,1,43.42672621951156,2023-09-01 22:24:48
6602343,2,43.702858701800025,2023-09-01 22:24:48
6602344,5,44.006195077762776,2023-09-01 22:24:48
6602345,6,44.29882712770671,2023-09-01 22:24:48
6602349,6,44.54566884553458,2023-09-01 22:26:49
6602348,5,44.719529744354524,2023-09-01 22:26:49
6602347,2,44.8049739444813,2023-09-01 22:26:49
6602346,1,44.8003581634657,2023-09-01 22:26:49
6602350,1,44.71773490278795,2023-09-01 22:28:49
6602352,2,44.580648902680196,2023-09-01 22:28:49
6602354,5,44.42018715058591,2023-09-01 22:28:49
6602356,6,44.26991189497997,2023-09-01 22:28:49
6602351,1,44.16047207929509,2023-09-01 22:29:49
6602353,2,44.11472937814265,2023-09-01 22:29:49
6602355,5,44.1441477954921,2023-09-01 22:29:49
6602357,6,44.24699525505495,2023-09-01 22:29:49
6602358,1,44.408621535644876,2023-09-01 22:32:50
6602364,6,44.60375189568727,2023-09-01 22:32:50
6602360,2,44.800421205776274,2023-09-01 22:32:50
6602362,5,44.964921364734465,2023-09-01 22:32:50
6602363,5,45.06698685398131,2023-09-01 22:33:50
6602365,6,45.084421822553985,2023-09-01 22:33:50
6602359,1,45.0064767046258,2023-09-01 22:33:50
6602361,2,44.83549180764669,2023-09-01 22:33:50
6602366,1,44.586602341464065,2023-09-01 22:36:51
6602367,2,44.285597138028976,2023-09-01 22:36:51
6602368,5,43.96529297304859,2023-09-01 22:36:51
6602369,6,43.66098571779595,2023-09-01 22:36:51
6602372,5,43.40564139076125,2023-09-01 22:38:51
6602373,6,43.22548811261345,2023-09-01 22:38:51
6602370,1,43.13657792899315,2023-09-01 22:38:51
6602371,2,43.14273256537254,2023-09-01 22:38:51
6602374,1,43.23509890505756,2023-09-01 22:40:51
6602375,2,43.39334187762181,2023-09-01 22:40:51
6602376,5,43.58831067690627,2023-09-01 22:40:51
6602377,6,43.78584212227247,2023-09-01 22:40:51
6602378,1,43.95122807136411,2023-09-01 22:42:51
6602384,6,44.05379007085993,2023-09-01 22:42:51
6602380,2,44.070988820512184,2023-09-01 22:42:51
6602382,5,43.99155310292297,2023-09-01 22:42:51
6602385,6,43.81723332277062,2023-09-01 22:43:52
6602381,2,43.56294872975659,2023-09-01 22:43:52
6602379,1,43.25528180829448,2023-09-01 22:43:52
6602383,5,42.92945918104885,2023-09-01 22:43:52
6602386,1,42.625132415498534,2023-09-01 22:46:52
6602388,2,42.381423356466314,2023-09-01 22:46:52
6602390,5,42.23181333262163,2023-09-01 22:46:52
6602392,6,42.19951551085989,2023-09-01 22:46:52
6602387,1,42.29395562886099,2023-09-01 22:47:52
6602389,2,42.50888604396036,2023-09-01 22:47:52
6602391,5,42.82247341262387,2023-09-01 22:47:52
6602393,6,43.199450257417055,2023-09-01 22:47:52
6602394,1,43.59513858946162,2023-09-01 22:50:53
6602400,6,43.96088165043331,2023-09-01 22:50:53
6602396,2,44.25020088008349,2023-09-01 22:50:53
6602398,5,44.4248657825339,2023-09-01 22:50:53
6602399,5,44.46004727994407,2023-09-01 22:51:53
6602401,6,44.34782601751422,2023-09-01 22:51:53
6602395,1,44.098534348236534,2023-09-01 22:51:53
6602397,2,43.739698000562356,2023-09-01 22:51:53
6602402,1,43.3126727421165,2023-09-01 22:54:53
6602404,2,42.8673969866432,2023-09-01 22:54:53
6602406,5,42.45595508347676,2023-09-01 22:54:53
6602408,6,42.12582453764712,2023-09-01 22:54:53
6602403,1,41.91373322631746,2023-09-01 22:55:53
6602405,2,41.84096951640081,2023-09-01 22:55:53
6602407,5,41.91078169979875,2023-09-01 22:55:53
6602409,6,42.108205978803184,2023-09-01 22:55:53
6602410,1,42.40231981943651,2023-09-01 22:58:54
6602416,6,42.75058009085616,2023-09-01 22:58:54
6602412,2,43.1046211315448,2023-09-01 22:58:54
6602414,5,43.41669673587387,2023-09-01 22:58:54
6602415,5,43.64587841171328,2023-09-01 22:59:54
6602417,6,43.76317856203507,2023-09-01 22:59:54
6602411,1,43.7549404838235,2023-09-01 22:59:54
6602413,2,43.62409871853162,2023-09-01 22:59:54
6602418,1,43.389221965392295,2023-09-01 23:01:55
